id;topic;style;question;answer;numeros_fora_do_doc;decisao;pergunta_corrigida;resposta_corrigida;comentario
abre_mei__suporte__0;abre_mei;suporte;Como faço para abrir um MEI pelo app da Indie?;Para abrir um MEI pelo app da Indie, basta acessar a funcionalidade Indie Abre MEI. O processo é 100% online e leva cerca de 15 minutos. Você precisará fornecer um documento oficial com foto (RG ou CNH), fazer uma selfie, ter um CNPJ ativo e um comprovante de endereço. É importante que a atividade que você deseja registrar seja permitida ao MEI.;;;;;
abre_mei__caso_de_uso__0;abre_mei;caso_de_uso;Sou nutricionista e estou pensando em abrir meu consultório, mas não sei se meu trabalho se encaixa nas regras do MEI. Como posso saber se minha atividade é permitida?;Ao abrir um MEI pelo app da Indie, você deve verificar se sua atividade de nutricionista está entre as permitidas para o MEI. O app disponibiliza informações sobre as atividades que podem ser registradas. Caso sua atividade não esteja na lista, você pode precisar considerar outras opções de registro.;;;;;
abre_mei__suporte__1;abre_mei;suporte;Não consigo encontrar a opção de abrir MEI pelo app, o que pode estar acontecendo?;Se você não está encontrando a opção de abrir um MEI pelo app, verifique se você está utilizando a versão mais recente do aplicativo. Além disso, certifique-se de que sua atividade é uma das permitidas para MEI. Se o problema persistir, recomendo entrar em contato com o suporte pelo chat do app para assistência.;;;;;
atendimento__objecao__4;atendimento;objecao;E se a Indie quebrar, como fica o meu atendimento e os meus dados?;A Indie é regulada pelo Banco Central do Brasil, com práticas de segurança e segregação de recursos dos clientes. Em caso de qualquer situação adversa, seus dados estão protegidos conforme a Lei Geral de Proteção de Dados (LGPD), e a comunicação com o suporte continua disponível através do chat, SAC e central de bloqueio, garantindo que você tenha assistência mesmo em momentos difíceis.;;;;;
atendimento__suporte__1;atendimento;suporte;O que acontece se eu precisar de ajuda fora do horário de atendimento do WhatsApp?;Se você precisar de ajuda fora do horário de atendimento do WhatsApp, pode utilizar o chat no app, que está disponível 24 horas. Além disso, você pode enviar um e-mail e aguardar a resposta, que é dada em até 1 dia útil.;;;;;
caixinhas__direta__0;caixinhas;direta;O que são as Caixinhas da Indie?;As Caixinhas são CDBs emitidos pelo Banco Horizonte com liquidez diária, que permitem aos clientes guardarem dinheiro para diferentes objetivos, como reserva de emergência ou férias.;;;;;
caixinhas__objecao__1;caixinhas;objecao;Eu já tenho conta em outro banco e não vejo necessidade de mudar. Qual é a vantagem das Caixinhas em comparação com o que meu banco oferece?;As Caixinhas oferecem CDBs com liquidez diária e rendimento atrativo, que pode chegar a 105% do CDI no plano Premium. Além disso, você pode criar várias Caixinhas com objetivos específicos, como reserva de emergência ou férias. A Indie também não tem tarifas escondidas, e os rendimentos são claros e informados no app, ao contrário de muitos bancos tradicionais que podem ter custos ocultos.;;;;;
caixinhas__informal__2;caixinhas;informal;Quando eu guardar troco, isso vai pra Caixinha automaticamente?;Isso mesmo! Quando você usa seu cartão, o dinheiro que excede o valor da transação pode ser arredondado e guardado automaticamente em uma Caixinha. Assim, você nem percebe e já tá economizando!;;;;;
cartoes__direta__1;cartoes;direta;Qual é o limite do cartão de crédito PJ e como ele é liberado?;O limite do cartão de crédito PJ é definido com base no faturamento que passa pela conta da Indie. Após 60 dias de movimentação, o cartão é liberado para uso, permitindo que você tenha um limite adequado à sua atividade financeira.;;;;;
cartoes__comparacao__0;cartoes;comparacao;Qual é a diferença entre o cartão de débito virtual e o cartão físico PJ?;O cartão de débito PJ virtual é emitido imediatamente e pode ser utilizado para compras online, enquanto o cartão físico PJ é enviado para o endereço do cliente e leva até 10 dias úteis para ser entregue. Ambos têm a mesma funcionalidade de permitir pagamentos, mas a forma de acesso e tempo de recebimento são diferentes.;;;;;
