id;topic;style;question;answer;numeros_fora_do_doc;decisao;pergunta_corrigida;resposta_corrigida;comentario
abre_mei__suporte__0;abre_mei;suporte;Como faço para abrir um MEI pelo app da Indie?;Para abrir um MEI pelo app da Indie, basta acessar a funcionalidade Indie Abre MEI. O processo é 100% online e leva cerca de 15 minutos. Você precisará fornecer um documento oficial com foto (RG ou CNH), fazer uma selfie, ter um CNPJ ativo e um comprovante de endereço. É importante que a atividade que você deseja registrar seja permitida ao MEI.;;;;;
abre_mei__caso_de_uso__0;abre_mei;caso_de_uso;Sou nutricionista e estou pensando em abrir meu consultório, mas não sei se meu trabalho se encaixa nas regras do MEI. Como posso saber se minha atividade é permitida?;Ao abrir um MEI pelo app da Indie, você deve verificar se sua atividade de nutricionista está entre as permitidas para o MEI. O app disponibiliza informações sobre as atividades que podem ser registradas. Caso sua atividade não esteja na lista, você pode precisar considerar outras opções de registro.;;;;;
abre_mei__suporte__1;abre_mei;suporte;Não consigo encontrar a opção de abrir MEI pelo app, o que pode estar acontecendo?;Se você não está encontrando a opção de abrir um MEI pelo app, verifique se você está utilizando a versão mais recente do aplicativo. Além disso, certifique-se de que sua atividade é uma das permitidas para MEI. Se o problema persistir, recomendo entrar em contato com o suporte pelo chat do app para assistência.;;;;;
atendimento__direta__0;atendimento;direta;Quais são os horários de atendimento do chat no app da Indie?;O chat no app da Indie está disponível 24 horas, 7 dias por semana, e a primeira resposta humana é dada em até 3 minutos.;;;;;
atendimento__comparacao__1;atendimento;comparacao;Quais os canais de atendimento disponíveis para os clientes do plano Premium?;Os clientes do plano Premium têm acesso ao chat 24 horas, WhatsApp, gerente de relacionamento e e-mail. Isso proporciona diversas opções para resolver dúvidas e problemas de forma rápida e eficaz.;;;;;
atendimento__informal__1;atendimento;informal;Qual o horário de atendimento da central de bloqueio?;A central de bloqueio está disponível 24 horas, todos os dias, para você bloquear seu cartão em caso de perda, roubo ou suspeita de fraude.;;;;;
caixinhas__direta__4;caixinhas;direta;Como funciona a funcionalidade de 'Guardar troco' nas Caixinhas?;A funcionalidade 'Guardar troco' arredonda cada pagamento feito com o cartão e guarda a diferença em uma Caixinha, ajudando a acumular reservas sem esforço.;;;;;
caixinhas__informal__0;caixinhas;informal;Oi, eu queria saber se as Caixinhas podem ter diferentes objetivos financeiros, tipo pra férias e emergência?;"Sim, você pode criar várias Caixinhas com diferentes objetivos, como ""Reserva de emergência"" ou ""Férias"". Isso ajuda a organizar melhor suas metas financeiras!";;;;;
caixinhas__suporte__0;caixinhas;suporte;Estou tentando criar uma Caixinha para a minha reserva de emergência, mas não consigo encontrar essa opção no app. O que faço?;Para criar uma Caixinha para a sua reserva de emergência, você deve acessar o app da Indie e seguir as instruções para adicionar uma nova Caixinha. Lembre-se de que você pode nomear sua Caixinha conforme o objetivo que desejar, como 'Reserva de Emergência'. Se ainda tiver dificuldades, considere entrar em contato com o nosso suporte pelo chat do app.;;;;;
cartoes__direta__1;cartoes;direta;Qual é o limite do cartão de crédito PJ e como ele é liberado?;O limite do cartão de crédito PJ é definido com base no faturamento que passa pela conta da Indie. Após 60 dias de movimentação, o cartão é liberado para uso, permitindo que você tenha um limite adequado à sua atividade financeira.;;;;;
